Producto, Volumen mtro3
398 , 0.00000600 
399 , 0.09621000 
400 , 0.00095680 
401 , 0.00014900 
402 , 0.53746400 
403 , 0.00672900 
404 , 0.02528500 
405 , 0.35640900 
406 , 0.53500800 
407 , 0.13409700 
408 , 0.12410000 
409 , 0.00141120 
410 , 0.29626047 
411 , 0.06000000 
412 , 0.00112500 
413 , 0.00018100 
414 , 0.00690400 
415 , 0.00255400 
416 , 0.00215900 
417 , 0.76882400 
418 , 0.09155700 
419 , 0.02012100 
420 , 0.00450000 
421 , 0.11916700 
422 , 0.03000000 
423 , 0.00039187 
424 , 0.16052623 
425 , 0.39166253 
426 , 0.06000000 
427 , 0.00100000 
428 , 0.08622500 
429 , 0.09400000 
430 , 0.00000733 
431 , 0.00000675 
432 , 0.00064600 
433 , 0.00690400 
434 , 0.48000000 
435 , 0.08000000 
436 , 0.00060300 
437 , 0.00000764 
438 , 0.02000000 
439 , 0.00611500 
440 , 0.01440517 
441 , 0.02254992 
442 , 0.00100000 
443 , 0.00083164 
444 , 0.53746400 
445 , 0.25331800 
446 , 0.04000000 
447 , 0.00449000 
448 , 0.00853600 
449 , 0.00296000 
450 , 0.02091200 
451 , 0.00243710 
452 , 0.03540000 
453 , 0.00351580 
454 , 0.00094812 
455 , 0.00100000 
456 , 0.00744900 
457 , 0.02298751 
458 , 1.12000000 
459 , 0.00100000 
460 , 0.00720000 
461 , 0.00045600 
462 , 0.00642000 
463 , 0.00003394 
464 , 0.04598410 
465 , 0.00112500 
466 , 0.01720200 
467 , 0.05936000 
468 , 0.00020000 
469 , 0.01440517 
470 , 0.00050000 
471 , 0.00430529 
472 , 0.00095390 
473 , 0.01781848 
474 , 0.00054280 
475 , 0.00000508 
476 , 0.00622200 
477 , 0.00069800 
478 , 0.00112500 
479 , 0.30705000 
480 , 0.00434296 
481 , 0.00791800 
482 , 0.02033500 
483 , 0.00029400 
484 , 0.01000000 
485 , 0.01720200 
486 , 0.00100000 
487 , 0.16900000 
488 , 0.00095680 
489 , 0.00279300 
490 , 0.15000000 
491 , 0.00010000 
492 , 0.00100000 
493 , 0.00430529 
494 , 0.00277500 
495 , 0.00623500 
496 , 0.00524200 
497 , 0.00712041 
498 , 0.05145000 
499 , 0.00060100 
500 , 0.13409700 
501 , 0.00159700 
502 , 0.00229729 
503 , 0.55699900 
504 , 0.01404700 
505 , 0.02033500 
506 , 0.00013200 
507 , 0.00094812 
508 , 0.00054000 
509 , 0.00093499 
510 , 0.00013200 
511 , 0.01112900 
512 , 0.00013200 
513 , 0.00029800 
514 , 0.22000000 
515 , 0.00112500 
516 , 0.17418200 
517 , 0.00701300 
518 , 0.07616200 
519 , 0.05050000 
520 , 0.00095680 
521 , 0.05524500 
522 , 0.01000000 
523 , 0.00524200 
524 , 0.01373500 
525 , 0.00054033 
526 , 0.40206800 
527 , 0.00100000 
528 , 0.04012500 
529 , 0.00243710 
530 , 0.00836071 
531 , 0.04360000 
532 , 0.00986415 
533 , 0.05651500 
534 , 0.00622200 
535 , 0.02878200 
536 , 0.00112500 
537 , 0.00010000 
538 , 0.02091200 
539 , 0.02464000 
540 , 0.02102600 
541 , 0.10704700 
542 , 0.00099580 
543 , 0.06120400 
544 , 0.16052623 
545 , 0.00836071 
546 , 0.00032200 
547 , 0.00662830 
548 , 0.00100000 
549 , 0.00094812 
550 , 0.00095680 
551 , 0.01432100 
552 , 0.00345244 
553 , 0.21735000 
554 , 0.03000000 
555 , 0.62437233 
556 , 0.00085200 
557 , 0.00057302 
558 , 0.00380900 
559 , 0.09000000 
560 , 2.58910000 
561 , 0.00000800 
562 , 0.03700300 
563 , 0.01003600 
564 , 0.02091200 
565 , 0.00295600 
566 , 0.30199900 
567 , 0.62437233 
568 , 0.00064600 
569 , 0.00045600 
570 , 0.00054033 
571 , 0.00112500 
572 , 0.00061100 
573 , 0.00649300 
574 , 0.00100000 
575 , 0.02254992 
576 , 0.39166253 
577 , 0.01781848 
578 , 0.00061100 
579 , 0.00907500 
580 , 0.00057302 
581 , 0.17000000 
582 , 0.00010000 
583 , 0.01000000 
584 , 0.00053478 
585 , 0.09332900 
586 , 0.79430000 
587 , 0.00345244 
588 , 0.00095680 
589 , 0.01440000 
590 , 0.00091440 
591 , 0.00141120 
592 , 0.00296000 
593 , 0.00042600 
594 , 0.81000000 
595 , 0.00689300 
596 , 0.00093183 
597 , 0.00607500 
598 , 0.00386800 
599 , 0.00000100 
600 , 0.00296000 
601 , 0.00000675 
602 , 0.11820000 
603 , 0.00094812 
604 , 0.00007423 
605 , 0.00040000 
606 , 0.56000000 
607 , 0.00672900 
608 , 0.01000000 
609 , 0.00095680 
610 , 0.12260000 
611 , 0.00615700 
612 , 0.00970000 
613 , 1.19839040 
614 , 0.00010000 
615 , 0.02719300 
616 , 0.00853600 
617 , 0.00034260 
618 , 0.00095680 
619 , 0.00351580 
620 , 0.00255400 
621 , 0.03748900 
622 , 0.00662400 
623 , 0.00343400 
624 , 0.00093230 
625 , 0.00623500 
626 , 0.00060100 
627 , 0.83000000 
628 , 0.00004682 
629 , 0.00853600 
630 , 0.00198000 
631 , 0.04600250 
632 , 0.02641600 
633 , 0.00095680 
634 , 0.00002248 
635 , 0.06615100 
636 , 0.00618500 
637 , 0.23400000 
638 , 0.18150000 
639 , 0.00095680 
640 , 0.13409700 
641 , 0.01319738 
642 , 0.00010000 
